               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070811,            0.025467,            0.025952,             0.39941,             0.58161,             0.45343,             0.21908,            0.033287,           0.0078175,            0.016214,            0.070137,           0.0033181,           0.0033181
                   1,            0.047579,            0.017848,             0.02251,             0.66454,             0.55293,             0.61772,             0.36116,            0.028719,           0.0064539,            0.014132,            0.039917,           0.0064319,           0.0064319
                   2,            0.042628,             0.01596,            0.020387,             0.55897,             0.55763,              0.5263,             0.28674,            0.030689,           0.0072982,            0.014446,            0.009478,           0.0093258,           0.0093258
                   3,            0.039569,            0.015762,            0.019735,             0.54414,             0.57614,             0.57088,             0.38305,            0.023759,           0.0071055,            0.014713,             0.00901,             0.00901,             0.00901
                   4,            0.037085,            0.014674,            0.018759,             0.63568,             0.65145,             0.67851,             0.44624,            0.022856,           0.0061507,            0.012459,             0.00901,             0.00901,             0.00901
                   5,            0.034514,            0.013989,            0.017882,             0.64501,             0.67556,             0.71337,             0.49032,            0.021618,           0.0062474,            0.010775,             0.00868,             0.00868,             0.00868
                   6,            0.032447,            0.013549,            0.018391,             0.66547,             0.72827,             0.72995,             0.51923,              0.0219,           0.0057561,            0.011888,             0.00835,             0.00835,             0.00835
                   7,            0.031376,            0.012992,            0.016913,             0.62714,             0.72452,              0.7141,             0.53501,             0.01846,           0.0052879,             0.01453,             0.00802,             0.00802,             0.00802
                   8,             0.02895,            0.012501,            0.016434,              0.6556,             0.70979,             0.72682,             0.53426,            0.018489,           0.0055746,            0.011805,             0.00769,             0.00769,             0.00769
                   9,            0.029314,            0.012489,            0.016552,             0.65465,             0.69503,             0.72076,             0.52254,            0.019387,            0.005614,            0.010639,             0.00736,             0.00736,             0.00736
                  10,              0.0277,            0.012246,            0.015132,             0.61989,              0.7631,             0.71279,             0.54092,             0.01832,           0.0052589,            0.013506,             0.00703,             0.00703,             0.00703
                  11,              0.0275,            0.011979,            0.014584,             0.67961,             0.76446,             0.76986,             0.57827,            0.017754,           0.0051557,           0.0099061,              0.0067,              0.0067,              0.0067
                  12,            0.026841,            0.011854,             0.01458,             0.63932,             0.78255,             0.78245,             0.59964,            0.017326,           0.0047651,            0.011849,             0.00637,             0.00637,             0.00637
                  13,             0.02584,            0.011493,             0.01394,              0.6729,             0.77831,             0.78133,             0.60506,            0.016134,           0.0048689,            0.010684,             0.00604,             0.00604,             0.00604
                  14,            0.025628,            0.011362,            0.015316,             0.68535,             0.79699,             0.79482,             0.61036,            0.016145,           0.0047549,             0.01012,             0.00571,             0.00571,             0.00571
                  15,            0.024804,            0.011285,            0.013803,             0.68363,              0.7769,             0.78738,             0.61022,            0.015685,           0.0047588,           0.0099508,             0.00538,             0.00538,             0.00538
                  16,            0.023516,             0.01096,              0.0142,             0.70231,             0.79316,             0.80265,             0.63057,            0.015469,           0.0048192,            0.010144,             0.00505,             0.00505,             0.00505
                  17,            0.024482,            0.010895,            0.014125,             0.69531,             0.82811,             0.82331,              0.6464,            0.015196,           0.0044727,           0.0096415,             0.00472,             0.00472,             0.00472
                  18,            0.023359,            0.010583,            0.013463,             0.70536,             0.82366,             0.82585,             0.65643,            0.015313,           0.0043596,           0.0092941,             0.00439,             0.00439,             0.00439
                  19,            0.022741,            0.010516,            0.013252,             0.69152,             0.82288,              0.8247,              0.6518,            0.014782,            0.004354,           0.0095051,             0.00406,             0.00406,             0.00406
                  20,            0.023181,            0.010669,            0.013702,             0.71307,             0.82496,             0.83063,             0.66964,            0.014636,           0.0041356,            0.010199,             0.00373,             0.00373,             0.00373
                  21,            0.023055,            0.010432,             0.01382,             0.70468,             0.80354,             0.82442,              0.6523,            0.015093,           0.0042495,             0.01016,              0.0034,              0.0034,              0.0034
                  22,             0.02246,            0.010274,             0.01385,             0.69649,             0.83182,             0.83361,             0.66868,            0.014529,           0.0041576,           0.0099211,             0.00307,             0.00307,             0.00307
                  23,            0.022192,            0.010197,            0.013783,             0.70496,             0.84288,             0.84043,             0.67255,            0.014317,           0.0040953,           0.0094948,             0.00274,             0.00274,             0.00274
                  24,            0.020998,            0.009827,            0.013286,             0.70493,              0.8465,             0.84113,              0.6809,            0.014271,            0.004055,           0.0093696,             0.00241,             0.00241,             0.00241
                  25,            0.021305,            0.009774,            0.013303,              0.6922,             0.85265,             0.82528,             0.66903,            0.013962,           0.0040148,            0.010175,             0.00208,             0.00208,             0.00208
                  26,            0.020311,           0.0098792,            0.012816,             0.70894,             0.85078,             0.84468,              0.6912,            0.013959,           0.0040162,            0.009687,             0.00175,             0.00175,             0.00175
                  27,            0.019971,           0.0096261,            0.013066,             0.70665,             0.87398,             0.85429,             0.70079,            0.013678,           0.0038848,           0.0088817,             0.00142,             0.00142,             0.00142
                  28,            0.019836,           0.0092635,            0.012635,             0.70704,             0.85959,             0.85339,             0.70048,             0.01381,           0.0039071,            0.009139,             0.00109,             0.00109,             0.00109
                  29,            0.019918,           0.0092816,             0.01189,             0.71017,             0.86046,             0.84931,             0.69615,            0.013535,           0.0038619,           0.0090889,             0.00076,             0.00076,             0.00076
